IdCliente;Edad;Rango estareo;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Credito Hipotecario;Tiene Credito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
1;87;65 a mas;Jubilado;Divorciado;Universitario;No;2282000;No;No;Fono Particular;0;Si
2;92;65 a mas;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
3;90;65 a mas;Jubilado;Divorciado;Universitario;No;1234000;No;No;Celular;0;No
4;89;65 a mas;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;7;Si
5;89;65 a mas;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;9;Si
6;88;65 a mas;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;0;Si
7;88;65 a mas;Jubilado;Casado;Técnico Profesional;No;775000;No;No;Celular;3;Si
8;86;65 a mas;Jubilado;Divorciado;Enseñanza Media;No;1000;No;No;Celular;0;No
9;86;65 a mas;Jubilado;Divorciado;Universitario;No;712000;No;No;Fono Particular;0;Si
10;82;65 a mas;Jubilado;Casado;Universitario;No;553000;No;No;Fono Particular;0;No
11;86;65 a mas;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
12;86;65 a mas;Jubilado;Divorciado;Universitario;No;1323000;No;No;Fono Particular;1;No
13;84;65 a mas;Jubilado;Casado;Universitario;No;433000;No;No;Fono Particular;1;No
14;85;65 a mas;Jubilado;Casado;Universitario;No;648000;No;No;Fono Particular;0;No
15;79;65 a mas;Jubilado;Divorciado;Universitario;No;6746000;No;No;Fono Particular;0;Si
16;79;65 a mas;Jubilado;Casado;Universitario;No;230000;No;No;Celular;0;No
17;83;65 a mas;Jubilado;Casado;Universitario;No;433000;No;No;Fono Particular;0;No
18;81;65 a mas;Jubilado;Casado;Universitario;No;2190000;No;No;Fono Particular;0;Si
19;76;65 a mas;Jubilado;Casado;Universitario;No;5236000;No;No;Fono Particular;0;Si
20;75;65 a mas;Jubilado;Casado;Universitario;No;1817000;No;No;Celular;0;No
21;83;65 a mas;Jubilado;Casado;Universitario;No;1503000;No;No;Fono Particular;1;No
22;83;65 a mas;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Celular;0;No
23;81;65 a mas;Jubilado;Soltero;Universitario;No;614000;No;No;Fono Particular;0;Si
24;83;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
25;79;65 a mas;Jubilado;Divorciado;Técnico Profesional;No;157000;No;No;Fono Particular;0;No
26;79;65 a mas;Jubilado;Casado;Universitario;No;1255000;No;No;Celular;4;No
27;79;65 a mas;Jubilado;Casado;Universitario;No;1255000;No;No;Fono Particular;3;Si
28;74;65 a mas;Jubilado;Casado;Enseñanza Básica;No;98000;No;No;Celular;0;No
29;74;65 a mas;Jubilado;Casado;Técnico Profesional;No;1934000;No;No;Fono Particular;0;No
30;78;65 a mas;Jubilado;Casado;Universitario;No;1255000;No;No;Celular;0;Si
31;82;65 a mas;Jubilado;Casado;Universitario;No;12114000;No;No;Fono Particular;0;Si
32;74;65 a mas;Jubilado;Divorciado;Universitario;No;7613000;No;No;Celular;0;Si
33;75;65 a mas;Jubilado;Casado;Universitario;No;81204000;No;No;Fono Particular;3;Si
